Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Top Gun: Maverick,"$1,471,970,698","$711,770,698",48.4%,"$760,200,000",51.6%
2,Jurassic World Dominion,"$997,814,080","$376,009,080",37.7%,"$621,805,000",62.3%
3,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
4,Minions: The Rise of Gru,"$920,183,865","$365,665,865",39.7%,"$554,518,000",60.3%
5,The Batman,"$770,836,163","$369,345,583",47.9%,"$401,490,580",52.1%
6,Thor: Love and Thunder,"$760,209,495","$343,163,783",45.1%,"$417,045,712",54.9%
7,Water Gate Bridge,"$626,571,280","$117,294",<0.1%,"$626,453,986",100%
8,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$95,850,844",23.7%,"$309,310,490",76.3%
9,Sonic the Hedgehog 2,"$401,872,904","$190,872,904",47.5%,"$211,000,000",52.5%
10,Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
11,Elvis,"$285,914,522","$150,914,522",52.8%,"$135,000,000",47.2%
12,The Bad Guys,"$245,713,440","$96,713,440",39.4%,"$149,000,000",60.6%
13,Bullet Train,"$230,520,978","$99,420,978",43.1%,"$131,100,000",56.9%
14,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
15,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
16,Nice View,"$211,019,042",-,-,"$211,019,042",100%
17,The Lost City,"$190,844,029","$105,344,029",55.2%,"$85,500,000",44.8%
18,DC League of Super-Pets,"$186,162,240","$90,162,240",48.4%,"$96,000,000",51.6%
19,Nope,"$170,676,505","$123,130,505",72.1%,"$47,546,000",27.9%
20,Morbius,"$163,865,530","$73,865,530",45.1%,"$90,000,000",54.9%
21,The Black Phone,"$159,568,230","$89,887,230",56.3%,"$69,681,000",43.7%
22,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
23,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
24,Where the Crawdads Sing,"$130,021,452","$89,621,452",68.9%,"$40,400,000",31.1%
25,One Piece Film: Red,"$111,227,777",-,-,"$111,227,777",100%
26,The Roundup,"$101,146,507","$812,859",0.8%,"$100,333,648",99.2%
27,RRR,"$99,746,831","$11,113,000",11.1%,"$88,633,831",88.9%
28,Everything Everywhere All at Once,"$99,128,864","$69,993,811",70.6%,"$29,135,053",29.4%
29,Downton Abbey: A New Era,"$92,596,943","$43,896,550",47.4%,"$48,700,393",52.6%
30,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
31,Dog,"$84,906,207","$61,778,069",72.8%,"$23,128,138",27.2%
32,Jackass Forever,"$80,321,411","$57,743,451",71.9%,"$22,577,960",28.1%
33,Dragon Ball Super: Super Hero,"$79,982,582","$34,932,582",43.7%,"$45,050,000",56.3%
34,Detective Conan: The Bride of Halloween,"$73,783,873",-,-,"$73,783,873",100%
35,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
36,Moonfall,"$59,049,032","$19,060,660",32.3%,"$39,988,372",67.7%
37,Beast,"$56,232,185","$31,459,185",55.9%,"$24,773,000",44.1%
38,Hansan: Rising Dragon,"$53,735,255","$862,914",1.6%,"$52,872,341",98.4%
39,Ambulance,"$51,309,115","$22,309,115",43.5%,"$29,000,000",56.5%
40,Marry Me,"$50,468,297","$22,438,180",44.5%,"$28,030,117",55.5%
41,Brahmastra Part One: Shiva,"$47,422,259","$7,522,206",15.9%,"$39,900,053",84.1%
42,The Woman King,"$38,408,418","$37,108,418",96.6%,"$1,300,000",3.4%
43,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
44,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
45,Avatar 2022 Re-release,"$32,635,763","$11,503,106",35.2%,"$21,132,657",64.8%
46,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
47,Don't Worry Darling,"$31,921,862","$21,021,862",65.9%,"$10,900,000",34.1%
48,The Invitation,"$31,816,500","$23,216,500",73%,"$8,600,000",27%
49,Ticket to Paradise,"$31,206,000",-,-,"$31,206,000",100%
50,Shin Ultraman,"$31,201,550",-,-,"$31,201,550",100%
51,Barbarian,"$30,458,153","$28,938,838",95%,"$1,519,315",5%
52,Vikram,"$29,843,869","$1,770,000",5.9%,"$28,073,869",94.1%
53,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
54,The 355,"$27,828,685","$14,570,455",52.4%,"$13,258,230",47.6%
55,Serial (Bad) Weddings 3,"$26,794,427",-,-,"$26,794,427",100%
56,Paws of Fury: The Legend of Hank,"$25,792,807","$17,811,382",69.1%,"$7,981,425",30.9%
57,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
58,The Confidence Man JP: Episode of the Hero,"$23,100,870",-,-,"$23,100,870",100%
59,The Witch: Part 2 - The Other One,"$23,068,902","$143,723",0.6%,"$22,925,179",99.4%
60,The Last 10 Years,"$22,456,368",-,-,"$22,456,368",100%
61,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,060,623",-,-,"$22,060,623",100%
62,Father Stu,"$21,591,034","$20,884,796",96.7%,"$706,238",3.3%
63,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
64,Emergency Declaration,"$19,223,473","$411,207",2.1%,"$18,812,266",97.9%
65,Orphan: First Kill,"$19,111,689","$5,413,227",28.3%,"$13,698,462",71.7%
66,Beast,"$18,911,959",-,-,"$18,911,959",100%
67,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
68,After Ever Happy,"$18,130,781","$1,072,750",5.9%,"$17,058,031",94.1%
69,Decision to Leave,"$16,838,118",-,-,"$16,838,118",100%
70,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
71,The Quintessential Quintuplets Movie,"$16,182,932",-,-,"$16,182,932",100%
72,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
73,Blacklight,"$15,900,499","$9,591,094",60.3%,"$6,309,405",39.7%
74,Three Thousand Years of Longing,"$15,630,356","$8,231,768",52.7%,"$7,398,588",47.3%
75,Operation Mincemeat,"$15,596,971",-,-,"$15,596,971",100%
76,Maison de retraite,"$15,564,937",-,-,"$15,564,937",100%
77,Padre no hay más que uno 3,"$15,268,509",-,-,"$15,268,509",100%
78,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
79,Broker,"$14,949,698",-,-,"$14,949,698",100%
80,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$14,895,696",-,-,"$14,895,696",100%
81,Firestarter,"$14,889,250","$9,589,250",64.4%,"$5,300,000",35.6%
82,Super-héros malgré lui,"$14,770,359",-,-,"$14,770,359",100%
83,X,"$14,476,595","$11,765,309",81.3%,"$2,711,286",18.7%
