Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%
2,Avatar: The Way of Water,"$1,193,157,914","$382,557,914",32.1%,"$810,600,000",67.9%
3,Jurassic World: Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
5,Minions: The Rise of Gru,"$939,628,210","$369,695,210",39.3%,"$569,933,000",60.7%
6,Black Panther: Wakanda Forever,"$810,268,513","$434,965,653",53.7%,"$375,302,860",46.3%
7,The Batman,"$770,836,163","$369,345,583",47.9%,"$401,490,580",52.1%
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
10,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
11,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$95,850,844",23.7%,"$309,310,490",76.3%
12,Sonic the Hedgehog 2,"$402,656,846","$190,872,904",47.4%,"$211,783,942",52.6%
13,Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
14,Black Adam,"$391,273,355","$167,873,355",42.9%,"$223,400,000",57.1%
15,Elvis,"$286,040,048","$151,040,048",52.8%,"$135,000,000",47.2%
16,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%
17,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
18,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
19,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
20,Smile,"$216,135,048","$105,935,048",49%,"$110,200,000",51%
21,Nice View,"$211,019,042",-,-,"$211,019,042",100%
22,DC League of Super-Pets,"$203,857,117","$93,657,117",45.9%,"$110,200,000",54.1%
23,The Lost City,"$190,844,029","$105,344,029",55.2%,"$85,500,000",44.8%
24,One Piece Film: Red,"$174,494,853","$12,775,324",7.3%,"$161,719,529",92.7%
25,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
26,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
27,Ticket to Paradise,"$167,172,540","$68,175,230",40.8%,"$98,997,310",59.2%
28,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%
29,Where the Crawdads Sing,"$140,230,760","$90,230,760",64.3%,"$50,000,000",35.7%
30,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
31,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
32,Halloween Ends,"$104,186,860","$64,079,860",61.5%,"$40,107,000",38.5%
33,Everything Everywhere All at Once,"$103,740,689","$70,008,593",67.5%,"$33,732,096",32.5%
34,RRR,"$102,701,245","$11,113,000",10.8%,"$91,588,245",89.2%
35,The Roundup,"$101,154,047","$812,859",0.8%,"$100,341,188",99.2%
36,Downton Abbey: A New Era,"$92,597,166","$44,141,550",47.7%,"$48,455,616",52.3%
37,Puss in Boots: The Last Wish,"$92,365,686","$50,867,330",55.1%,"$41,498,356",44.9%
38,The Woman King,"$92,272,486","$67,172,486",72.8%,"$25,100,000",27.2%
39,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
40,"Lyle, Lyle, Crocodile","$87,995,784","$46,595,784",53%,"$41,400,000",47%
41,Don't Worry Darling,"$86,709,403","$45,309,403",52.3%,"$41,400,000",47.7%
42,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
43,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
44,Jackass Forever,"$80,484,161","$57,743,451",71.7%,"$22,740,710",28.3%
45,Avatar 2022 Re-release,"$75,520,575","$24,714,024",32.7%,"$50,806,551",67.3%
46,Suzume no tojimari,"$75,349,599",-,-,"$75,349,599",100%
47,Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
48,Interstellar 2021 Re-release,"$72,149,134",-,-,"$72,149,134",100%
49,The Menu,"$70,232,300","$35,444,899",50.5%,"$34,787,401",49.5%
50,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
51,Violent Night,"$69,329,429","$46,200,295",66.6%,"$23,129,134",33.4%
52,Moonfall,"$67,295,363","$19,060,660",28.3%,"$48,234,703",71.7%
53,Strange World,"$66,967,954","$36,692,290",54.8%,"$30,275,664",45.2%
54,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
55,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%
56,Ambulance,"$52,300,984","$22,781,115",43.6%,"$29,519,869",56.4%
57,Marry Me,"$50,458,060","$22,438,180",44.5%,"$28,019,880",55.5%
58,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
59,Barbarian,"$45,352,337","$40,842,944",90.1%,"$4,509,393",9.9%
60,Prey for the Devil,"$43,377,310","$19,802,293",45.7%,"$23,575,017",54.3%
61,Paws of Fury: The Legend of Hank,"$41,685,957","$17,811,382",42.7%,"$23,874,575",57.3%
62,The First Slam Dunk,"$38,123,760",-,-,"$38,123,760",100%
63,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
64,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
65,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
66,Hunt,"$33,800,203","$25,994",<0.1%,"$33,774,209",99.9%
67,The Invitation,"$33,700,080","$25,100,080",74.5%,"$8,600,000",25.5%
68,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
69,Shin Ultraman,"$31,523,533",-,-,"$31,523,533",100%
70,Amsterdam,"$31,245,810","$14,947,969",47.8%,"$16,297,841",52.2%
71,Tad the Lost Explorer and the Emerald Tablet,"$31,007,742","$67,599",0.2%,"$30,940,143",99.8%
72,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
73,Mrs. Harris Goes to Paris,"$29,290,134","$10,433,915",35.6%,"$18,856,219",64.4%
74,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
75,The 355,"$27,827,450","$14,570,455",52.4%,"$13,256,995",47.6%
76,Serial (Bad) Weddings 3,"$27,509,617",-,-,"$27,509,617",100%
77,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
78,The Night Owl,"$24,039,683",-,-,"$24,039,683",100%
79,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
80,Harry Potter and the Chamber of Secrets 2022 Re-release,"$23,102,370",-,-,"$23,102,370",100%
81,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
82,The Last 10 Years,"$22,539,146",-,-,"$22,539,146",100%
83,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%
84,6/45,"$22,263,336",-,-,"$22,263,336",100%
85,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
86,See How They Run,"$21,966,634","$9,586,237",43.6%,"$12,380,397",56.4%
87,Ponniyin Selvan: Part I,"$21,876,105","$4,282,000",19.6%,"$17,594,105",80.4%
88,Decision to Leave,"$21,870,111","$1,994,838",9.1%,"$19,875,273",90.9%
89,Silent Parade,"$21,723,595",-,-,"$21,723,595",100%
90,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
91,Emergency Declaration,"$20,831,764","$412,196",2%,"$20,419,568",98%
92,Devotion,"$20,525,405","$19,709,075",96%,"$816,330",4%
93,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
94,The Banshees of Inisherin,"$19,760,461","$9,004,962",45.6%,"$10,755,499",54.4%
